;DAY_DATE;ISIN;TRADING_CURRENCY_CODE;SUM(NUMBER_OF_TRADES);SUM(TURNOVER_CHF)
1430030;2010-01-04;CH0012255151;CHF;1781;33979189.1
5375838;2010-01-05;CH0012255151;CHF;2880;48554725.4
961231;2010-01-06;CH0012255151;CHF;3737;74689830.9
5153918;2010-01-07;CH0012255151;CHF;2571;58291162.7
2738049;2010-01-08;CH0012255151;CHF;3584;68364544.7
2664223;2010-01-11;CH0012255151;CHF;2259;46941855.3
6066713;2010-01-12;CH0012255151;CHF;2943;51128816.9
1726920;2010-01-13;CH0012255151;CHF;2379;49481732.1
5770103;2010-01-14;CH0012255151;CHF;3308;64696117.6
3157372;2010-01-15;CH0012255151;CHF;6882;203863769.7
3256467;2010-01-18;CH0012255151;CHF;3449;88497429.8
4167650;2010-01-19;CH0012255151;CHF;3869;90915624.1
2343884;2010-01-20;CH0012255151;CHF;5205;135601885.8
1183550;2010-01-21;CH0012255151;CHF;4668;106490111.3
789070;2010-01-22;CH0012255151;CHF;4812;102988373.2
5622064;2010-01-25;CH0012255151;CHF;3257;74324594.4
3305738;2010-01-26;CH0012255151;CHF;3304;53440201.5
2219738;2010-01-27;CH0012255151;CHF;3189;63619638.5
172810;2010-01-28;CH0012255151;CHF;2544;52014820.8
3577009;2010-01-29;CH0012255151;CHF;3467;54457566.7
5597602;2010-02-01;CH0012255151;CHF;3653;63003839.8
789109;2010-02-02;CH0012255151;CHF;3232;52991453.6
2244419;2010-02-03;CH0012255151;CHF;3086;54483310.5
1060100;2010-02-04;CH0012255151;CHF;4353;79468021.1
3058830;2010-02-05;CH0012255151;CHF;4545;81041245.9
936682;2010-02-08;CH0012255151;CHF;1969;35241047.9
1677731;2010-02-09;CH0012255151;CHF;5402;144180041.4
3453859;2010-02-10;CH0012255151;CHF;5472;123837989.1
5277173;2010-02-11;CH0012255151;CHF;6301;124336851.5
4463365;2010-02-12;CH0012255151;CHF;3899;78388248.5
5006044;2010-02-15;CH0012255151;CHF;1938;30984384.3
2047131;2010-02-16;CH0012255151;CHF;2039;34601672.4
4735096;2010-02-17;CH0012255151;CHF;2253;39245982.7
4981507;2010-02-18;CH0012255151;CHF;2489;55278044.4
887313;2010-02-19;CH0012255151;CHF;4745;169185157.5
5055838;2010-02-22;CH0012255151;CHF;2688;47245166.2
3305843;2010-02-23;CH0012255151;CHF;2771;52613912.3
542121;2010-02-24;CH0012255151;CHF;2152;41984297.0
3453918;2010-02-25;CH0012255151;CHF;2162;41652735.9
4438834;2010-02-26;CH0012255151;CHF;1610;33420020.0
4118871;2010-03-01;CH0012255151;CHF;3928;69590777.4
2565429;2010-03-02;CH0012255151;CHF;4116;78736796.6
640634;2010-03-03;CH0012255151;CHF;2785;49210786.3
1282520;2010-03-04;CH0012255151;CHF;3747;59090885.8
2047190;2010-03-05;CH0012255151;CHF;2361;41140311.5
1010561;2010-03-08;CH0012255151;CHF;2057;37031670.9
2146075;2010-03-09;CH0012255151;CHF;2154;42143015.4
98937;2010-03-10;CH0012255151;CHF;2177;51875869.8
2344073;2010-03-11;CH0012255151;CHF;2806;61373882.7
838163;2010-03-12;CH0012255151;CHF;2085;41564768.0
3651173;2010-03-15;CH0012255151;CHF;2238;35315988.1
3700382;2010-03-16;CH0012255151;CHF;1767;30579471.7
5943370;2010-03-17;CH0012255151;CHF;1839;37551732.3
591552;2010-03-18;CH0012255151;CHF;2261;54266811.6
3651192;2010-03-19;CH0012255151;CHF;4771;154307324.9
1356354;2010-03-22;CH0012255151;CHF;2685;55648561.8
1578720;2010-03-23;CH0012255151;CHF;1924;37964556.4
1578726;2010-03-24;CH0012255151;CHF;2216;43714663.1
3995600;2010-03-25;CH0012255151;CHF;2352;46544695.4
320868;2010-03-26;CH0012255151;CHF;1732;38326934.1
5523596;2010-03-29;CH0012255151;CHF;1544;32430746.9
3157636;2010-03-30;CH0012255151;CHF;2376;42642825.3
6116199;2010-03-31;CH0012255151;CHF;2861;61037328.5
3662427;2010-04-01;CH0012255151;CHF;1906;37519798.8
5856199;2010-04-06;CH0012255151;CHF;2487;42694598.0
5239219;2010-04-07;CH0012255151;CHF;2485;49998589.8
4474742;2010-04-08;CH0012255151;CHF;3601;75393669.6
3390977;2010-04-09;CH0012255151;CHF;2140;39296406.7
6028723;2010-04-12;CH0012255151;CHF;1955;37132938.2
2848242;2010-04-13;CH0012255151;CHF;3024;51449571.9
2601568;2010-04-14;CH0012255151;CHF;3719;68599475.1
5362537;2010-04-15;CH0012255151;CHF;2188;39879701.3
184328;2010-04-16;CH0012255151;CHF;3817;100310149.3
4154741;2010-04-19;CH0012255151;CHF;2410;47573641.4
2330542;2010-04-20;CH0012255151;CHF;2349;51195728.2
5189989;2010-04-21;CH0012255151;CHF;2421;42431192.0
5707632;2010-04-22;CH0012255151;CHF;3735;70048750.4
